delta	delta_high	alpha	Pizza Price	Pizza Amount	Fondue Price	Fondue Amount	Italian Wage	Swiss Hours Worked	Italian Wage	Swiss Hours Worked	Deviation
0.2	0.1	1.5	58.939	166.356	12.204	112.241	7.552	145.234	7.552	145.227	0.013958
0.2	0.1	2	56.367	164.131	16.041	119.882	7.623	143.882	7.623	143.88	0.013896
0.2	0.1	2.5	53.608	161.788	19.821	126.165	7.68	142.825	7.68	142.822	0.013807
0.2	0.1	3	50.697	159.311	23.549	131.516	7.726	141.972	7.726	141.967	0.013898
0.2	0.1	3.5	47.641	156.698	27.216	136.212	7.759	141.367	7.759	141.376	0.013866
0.2	0.1	4	44.469	153.909	30.822	140.405	7.784	140.93	7.784	140.938	0.013920
0.2	0.1	4.5	41.195	150.905	34.359	144.224	7.798	140.66	7.798	140.663	0.013716
0.2	0.1	5	37.816	147.707	37.817	147.697	7.803	140.599	7.803	140.601	0.013590
0.2	0.1	5.5	34.361	144.198	41.192	150.928	7.798	140.669	7.798	140.672	0.014013
0.2	0.1	6	30.818	140.437	44.47	153.89	7.783	140.938	7.783	140.945	0.013743
0.2	0.1	6.5	27.217	136.239	47.65	156.67	7.76	141.333	7.76	141.338	0.014062
0.2	0.1	7	23.546	131.522	50.69	159.319	7.725	142.01	7.725	142.01	0.013704
0.2	0.1	7.5	19.816	126.173	53.592	161.805	7.678	142.889	7.678	142.897	0.013462
0.2	0.1	8	16.041	119.886	56.369	164.128	7.623	143.874	7.623	143.875	0.013955
0.2	0.1	8.5	12.205	112.237	58.947	166.351	7.553	145.209	7.553	145.203	0.014074
0.2	0.1	9	8.306	102.236	61.316	168.455	7.468	146.828	7.468	146.826	0.014422
0.25	0.025	1	41.477	223.829	5.988	126.189	5.157	76.829	6.772	307.051	0.011876
0.25	0.025	1.5	39.883	220.977	8.674	141.538	5.308	92.14	6.745	294.505	0.012437
0.25	0.025	2	38.137	217.969	11.278	153.288	5.45	107.819	6.698	281.82	0.012625
0.25	0.025	2.5	36.295	214.762	13.831	162.754	5.589	123.316	6.641	268.805	0.014481
0.25	0.025	3	34.361	211.344	16.336	170.734	5.723	138.608	6.574	255.518	0.016559
0.25	0.025	3.5	32.349	207.691	18.806	177.513	5.851	153.269	6.5	241.934	0.020171
0.25	0.025	4	30.208	203.774	21.174	183.956	5.97	169.077	6.403	228.191	0.016371
0.25	0.025	4.5	28.008	199.538	23.49	189.733	6.084	184.652	6.301	214.186	0.013270
0.25	0.025	5	25.749	194.941	25.751	194.944	6.191	199.917	6.191	199.889	0.010955
0.25	0.025	5.5	23.486	189.761	28.008	199.546	6.3	214.233	6.083	184.742	0.012918
0.25	0.025	6	21.174	183.979	30.211	203.775	6.404	228.221	5.97	169.128	0.016202
0.25	0.025	6.5	18.794	177.624	32.337	207.705	6.497	242.016	5.851	153.599	0.018360
